srcChain,dstChain,receive.confirmations (default),receive.confirmations (app),receive.requiredDVNCount (default),receive.requiredDVNCount (app),receive.optionalDVNCount (default),receive.optionalDVNCount (app),receive.optionalDVNThreshold (default),receive.optionalDVNThreshold (app),receive.requiredDVNs (default),receive.requiredDVNs (app),receive.optionalDVNs (default),receive.optionalDVNs (app),,send.confirmations (default),send.confirmations (app),send.requiredDVNCount (default),send.requiredDVNCount (app),send.optionalDVNCount (default),send.optionalDVNCount (app),send.optionalDVNThreshold (default),send.optionalDVNThreshold (app),send.requiredDVNs (default),send.requiredDVNs (app),send.optionalDVNs (default),send.optionalDVNs (app)
ethereum,fraxtal,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x380275805876Ff19055EA900CDb2B46a94ecF20D;0x38654142F5E672Ae86a1b21523AAfC765E6A1e08;0x589dEDbD617e0CBcB916A9223F4d1300c294236b,-,-,,15,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x380275805876Ff19055EA900CDb2B46a94ecF20D;0x38654142F5E672Ae86a1b21523AAfC765E6A1e08;0x589dEDbD617e0CBcB916A9223F4d1300c294236b,-,-
ethereum,blast,5,0,1,2,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x380275805876Ff19055EA900CDb2B46a94ecF20D;0x589dEDbD617e0CBcB916A9223F4d1300c294236b,-,-,,15,0,1,2,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x380275805876Ff19055EA900CDb2B46a94ecF20D;0x589dEDbD617e0CBcB916A9223F4d1300c294236b,-,-
fraxtal,ethereum,15,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,base,10,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,blast,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,mode,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,sei,5,-,1,-,0,-,0,-,0x000000000000000000000000000000000000dEaD,-,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,xlayer,225000,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,sonic,-,-,-,-,-,-,-,-,-,-,-,-,,5,0,1,3,0,0,0,0,0x6A6991E0bF27E3CcCDe6B73dE94b7DA6e240FF6E,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,ink,20,0,1,3,0,0,0,0,0x6A6991E0bF27E3CcCDe6B73dE94b7DA6e240FF6E,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,5,0,1,3,0,0,0,0,0x6A6991E0bF27E3CcCDe6B73dE94b7DA6e240FF6E,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,arbitrum,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,optimism,20,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,polygon,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,avalanche,-,-,-,-,-,-,-,-,-,-,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,bnb,20,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,5,0,1,3,0,0,0,0,0x000000000000000000000000000000000000dEaD,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,zkevm,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,zksync,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,abstract,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,berachain,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,linea,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,aurora,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,hyperliquid,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,katana,20,0,1,3,0,0,0,0,0x6A6991E0bF27E3CcCDe6B73dE94b7DA6e240FF6E,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xa7b5189bcA84Cd304D8553977c7C614329750d99;0xcCE466a522984415bC91338c232d98869193D46e,-,-,,5,0,1,3,0,0,0,0,0x6A6991E0bF27E3CcCDe6B73dE94b7DA6e240FF6E,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xa7b5189bcA84Cd304D8553977c7C614329750d99;0xcCE466a522984415bC91338c232d98869193D46e,-,-
fraxtal,plumephoenix,-,-,-,-,-,-,-,-,-,-,-,-,,5,0,1,3,0,0,0,0,0x6A6991E0bF27E3CcCDe6B73dE94b7DA6e240FF6E,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-
fraxtal,scroll,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,unichain,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,worldchain,-,0,-,3,-,0,-,0,-,0x26cD5aBaDf7eC3f0F02b48314bfcA6b2342cddD4;0xcCE466a522984415bC91338c232d98869193D46e;0xDd7B5E1dB4AaFd5C8EC3b764eFB8ed265Aa5445B,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,plasma,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
