Chain,BlockNumber,RemoteHop,PeerId
ethereum,28467400,0x0000000000000000000000003ad4dc2319394bb4be99a0e4ae2abf7bcebd648e,30101
ink,28467400,0x0000000000000000000000007a07d606c87b7251c2953a30fa445d8c5f856c7a,30339
linea,28467400,0x0000000000000000000000006ca98f43719231d38f6426db64c7f3d5c7ce7876,30183
sonic,28467400,0x0000000000000000000000003a5cda3ac66aa80573402610c94b74ed6cdb2f23,30332
blast,28467400,0x000000000000000000000000e93cb38f97469eac2f284a87813d0d701b28e58e,30243
sei,28467400,0x0000000000000000000000003a6f28e8ddd232b02c72c491bd1626f69d2fb329,30280
mode,28467400,0x000000000000000000000000486cb4788f1be7cdef9301a7a637b451df3cf262,30260
avalanche,28467400,0x0000000000000000000000007a07d606c87b7251c2953a30fa445d8c5f856c7a,30106
optimism,28467400,0x00000000000000000000000031d982ebd82ad900358984bd049207a4c2468640,30111
zksync,28467400,0x000000000000000000000000c5e4a0cfef8d801278927c25fb51c1db7b69ddfb,30165
arbitrum,28467400,0x00000000000000000000000029f5dbd0fe72d8f11271fcbe79cb87e18a83c70a,30110
aptos,28467400,0x0000000000000000000000000000000000000000000000000000000000000000,30108
katana,28467400,0x0000000000000000000000005d8eb59a12bc98708702305a7b032f4b69dd5b5c,30375
bnb,28467400,0x000000000000000000000000452420df4ac1e3db5429b5fd629f3047482c543c,30102
solana,28467400,0x0000000000000000000000000000000000000000000000000000000000000000,30168
movement,28467400,0x0000000000000000000000000000000000000000000000000000000000000000,30325
scroll,28467400,0x000000000000000000000000f6f45ccb5e85d1400067ee66f9e168f83e86124e,30214
plasma,28467400,0x0000000000000000000000000000000000000000000000000000000000000000,30383
worldchain,28467400,0x000000000000000000000000938d99a81814f66b01010d19ddce92a633441699,30319
berachain,28467400,0x000000000000000000000000c71bf5ee4740405030ef521f18a96ea14fec802d,30362
zkevm,28467400,0x000000000000000000000000111ddab65af5ff96b674400246699ed40f550de1,30158
hyperliquid,28467400,0x0000000000000000000000008ebb34b1880b2ea5e458082590b3a2c9ea7c41a2,30367
xlayer,28467400,0x00000000000000000000000079152c303ad5ae429edefa4553cb1ad2c6ee1396,30274
plumephoenix,28467400,0x0000000000000000000000006ca98f43719231d38f6426db64c7f3d5c7ce7876,30370
polygon,28467400,0x000000000000000000000000f74d38a26948e9dda53ed85cf03c6b1188fbb30c,30109
stable,28467400,0x0000000000000000000000000000000000000000000000000000000000000000,30396
unichain,28467400,0x000000000000000000000000c71bf5ee4740405030ef521f18a96ea14fec802d,30320
base,28467400,0x0000000000000000000000003ec3849c33291a9ef4c5db86de593eb4a37fde45,30184
abstract,28467400,0x000000000000000000000000c5e4a0cfef8d801278927c25fb51c1db7b69ddfb,30324
aurora,28467400,0x00000000000000000000000053e36c8380ff62d7964bfa4868a0045e58a52344,30211
