Chain,Blocknumber,RemoteMintRedeemHop,FraxtalHop,NumOfDVNs,Executor,Dvn,Treasury,Eid,frxUsdOFT,sfrxUsdOft,Owner,Threshold,Signers
base,38480143,0x73382eb28F35d80Df8C3fe04A3EED71b1aFce5dE,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0x2CCA08ae69E0C44b18a57Ab2A87644234dAebaE4,0x9e059a54699a285714207b43B055483E78FAac25,0xCcD558d6839e128320bBC932CBBa2c890a5518E8,30184,0xe5020A6d073a794B6E7f05678707dE47986Fb0b6,0x91A3f8a8d7a881fBDfcfEcd7A2Dc92a46DCfa14e,0xCBfd4Ef00a8cf91Fd1e1Fe97dC05910772c15E53,3,0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
blast,27469909,0x85b1714b25f40FD5025423124c076476073180b3,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,0xc097ab8CD7b053326DFe9fB3E3a31a0CCe3B526f,0x2367325334447C5E1E0f1b3a6fB947b262F58312,30243,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0x33A133020b2C2CD41a24F74033B11EC2fC0bF97a,3,0x381e2495e683868F693AA5B1414F712f21d34b40;0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A
sonic,56046534,0xf6115Bb9b6A4b3660dA409cB7afF1fb773efaD0b,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,0x282b3386571f7f794450d5789911a9804FA346b4,0x4514FC667a944752ee8A29F544c1B20b1A315f25,30332,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0x87c7A1ef67c67cd57CBF101522a0c3B19D2C3aAc,3,0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
optimism,144075428,0x7a07D606c87b7251c2953A30Fa445d8c5F856C7A,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0x2D2ea0697bdbede3F01553D2Ae4B8d0c486B666e,0x6A02D83e8d433304bba74EF1c427913958187142,0x6c26c61a97006888ea9E4FA36584c7df57Cd9dA3,30111,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0x419e672d625f998dd07a7ecf2E06B896F8717cb2,3,0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
arbitrum,402672886,0xa46A266dCBf199a71532c76967e200994C5A0D6d,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0x31CAe3B7fB82d847621859fb1585353c5720660D,0x2f55C492897526677C5B68fb199ea31E2c126416,0x532410B245eB41f24Ed1179BA0f6ffD94738AE70,30110,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0x3da490b19F300E7cb2280426C8aD536dB2df445c,3,0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
polygon,79322301,0x5658e82E330e094627D9b362ed0E137eA06673C4,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0xCd3F213AD101472e1713C72B1697E727C803885b,0x23DE2FE932d9043291f870324B74F820e11dc81A,0xECEE8B581960634aF89f467AE624Ff468a9Db14B,30109,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0xDbf59edA454679bB157b3B048Ba54C4D762b559E,3,0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
avalanche,72345965,0x452420df4AC1e3db5429b5FD629f3047482C543C,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0x90E595783E43eb89fF07f63d27B8430e6B44bD9c,0x962F502A63F5FBeB44DC9ab932122648E8352959,0xe4DD168822767C4342e54e6241f0b91DE0d3c241,30106,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0xBF1fF4D8B05F0871ca3f49e49fF1cA8AeeBD3b4b,3,0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
unichain,33001276,0x983aF86c94Fe3963989c22CeeEb6eA8Eac32D263,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,0x282b3386571f7f794450d5789911a9804FA346b4,0x4514FC667a944752ee8A29F544c1B20b1A315f25,30320,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0x6f8FDdfD4F6a1456BA5632C919bEF74b64DD032D,3,0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
worldchain,22206997,0x111ddab65Af5fF96b674400246699ED40F550De1,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0xcCE466a522984415bC91338c232d98869193D46e,0x6788f52439ACA6BFF597d3eeC2DC9a44B8FEE842,0x4514FC667a944752ee8A29F544c1B20b1A315f25,30319,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0xf57d47c3EA11c12253dBc0BeAf097d5c206e8773,3,0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
hyperliquid,19821226,0xb85A8FDa7F5e52E32fa5582847CFfFee9456a5Dc,0x0000000000000000000000003e6a2cbafd864e09e6dab9cf035a0abea32bc0bc,3,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,0xc097ab8CD7b053326DFe9fB3E3a31a0CCe3B526f,0xe1844c5D63a9543023008D332Bd3d2e6f1FE1043,30367,0x80Eede496655FB9047dd39d9f418d5483ED600df,0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0,0x738ee62157f127C879Ff5c4B7102Eb0d166C7a6d,3,0x8d8290d49e88D16d81C6aDf6C8774eD88762274A;0xcbc616D595D38483e6AdC45C7E426f44bF230928;0x13Fe84D36d7a507Bb4bdAC6dCaF13a10961fc470;0x17e06ce6914E3969f7BD37D8b2a563890cA1c96e;0x381e2495e683868F693AA5B1414F712f21d34b40;0x6e74053a3798e0fC9a9775F7995316b27f21c4D2
